Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,1,0,0,1,3,1
Los Angeles Rams,2,1,2,2,1,1
San Francisco 49ers,0,1,0,3,1,0
Seattle Seahawks,2,1,0,4,1,0
