Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,2,0,0,1,1,2
Carolina Panthers,0,2,1,1,0,3
New Orleans Saints,0,0,2,1,0,1
Tampa Bay Buccaneers,0,0,4,1,0,2
