Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,0,0,0,0,2,5
Detroit Lions,0,0,4,2,1,2
Green Bay Packers,2,1,3,0,1,2
Minnesota Vikings,1,2,3,4,2,3
