Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,0,2,1,1,1,2
New York Giants,0,0,3,4,2,1
Philadelphia Eagles,1,2,0,2,2,3
Washington Commanders,1,0,2,2,0,3
