Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,0,2,1,1,0,3
New York Giants,0,0,1,1,0,5
Philadelphia Eagles,1,2,0,1,4,0
Washington Commanders,3,0,0,2,0,2
