Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,0,0,0,2,2,2
Detroit Lions,1,0,0,4,0,4
Green Bay Packers,1,0,1,2,3,4
Minnesota Vikings,3,0,2,2,2,0
