Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,2,1,0,0,2,3
Carolina Panthers,0,1,1,0,2,1
New Orleans Saints,0,2,0,1,0,2
Tampa Bay Buccaneers,2,0,2,1,0,1
