Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,2,1,0,3,1,2
Los Angeles Rams,1,2,0,3,1,0
San Francisco 49ers,2,1,0,4,0,4
Seattle Seahawks,0,1,1,5,0,4
