Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Baltimore Ravens,12,13,14,17,6,37
Cincinnati Bengals,12,17,14,23,11,23
Cleveland Browns,10,13,7,21,19,27
Pittsburgh Steelers,13,8,19,16,10,23
