Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,11,6,3,18,12,31
Los Angeles Rams,13,12,15,18,6,34
San Francisco 49ers,14,8,9,24,16,30
Seattle Seahawks,12,12,10,24,18,29
