Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,11,4,8,15,11,25
Carolina Panthers,8,10,8,19,8,22
New Orleans Saints,9,3,13,13,9,18
Tampa Bay Buccaneers,10,3,17,17,11,21
