Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Houston Texans,13,7,12,19,7,26
Indianapolis Colts,9,4,15,17,15,29
Jacksonville Jaguars,12,5,10,20,7,28
Tennessee Titans,11,4,9,19,15,25
