Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,9,15,17,9,8,29
New York Giants,17,4,10,18,6,25
Philadelphia Eagles,8,16,12,16,22,16
Washington Commanders,19,10,17,22,5,22
