Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,5,7,7,11,11,28
Detroit Lions,9,6,16,19,7,29
Green Bay Packers,9,4,19,16,19,31
Minnesota Vikings,22,6,16,18,17,32
