Round,Pick_No,Team,Player,Player_Link,Pos,College,Conf,ID,Conf_Clean,Div,MVP,SB_MVP,SB_WIN,OPOY,DPOY,OROY,DROY,First_AP,Second_AP,Pro_Bowl
1,1,Los Angeles Rams,Sam Bradford,https://en.wikipedia.org/wiki/Sam_Bradford ,QB,Oklahoma,Big 12,2010001,Big 12,NFC West,0,0,0,0,0,1,0,0,0,0
1,2,Detroit Lions,Ndamukong Suh,https://en.wikipedia.org/wiki/Ndamukong_Suh ,DT,Nebraska,Big 12,2010002,Big 12,NFC North,0,0,1,0,0,0,1,3,2,5
1,3,Tampa Bay Buccaneers,Gerald McCoy,https://en.wikipedia.org/wiki/Gerald_McCoy ,DT,Oklahoma,Big 12,2010003,Big 12,NFC South,0,0,0,0,0,0,0,1,2,6
1,4,Washington Commanders,Trent Williams,https://en.wikipedia.org/wiki/Trent_Williams ,OT,Oklahoma,Big 12,2010004,Big 12,NFC East,0,0,0,0,0,0,0,3,1,11
1,5,Kansas City Chiefs,Eric Berry,https://en.wikipedia.org/wiki/Eric_Berry ,S,Tennessee,SEC,2010005,SEC,AFC West,0,0,0,0,0,0,0,3,0,5
1,6,Seattle Seahawks,Russell Okung,https://en.wikipedia.org/wiki/Russell_Okung ,OT,Oklahoma State,Big 12,2010006,Big 12,NFC West,0,0,0,0,0,0,0,0,0,0
1,7,Cleveland Browns,Joe Haden,https://en.wikipedia.org/wiki/Joe_Haden ,CB,Florida,SEC,2010007,SEC,AFC North,0,0,0,0,0,0,0,0,1,3
1,8,Las Vegas Raiders,Rolando McClain,https://en.wikipedia.org/wiki/Rolando_McClain ,LB,Alabama,SEC,2010008,SEC,AFC West,0,0,0,0,0,0,0,0,0,0
1,9,Buffalo Bills,C J Spiller,https://en.wikipedia.org/wiki/C._J._Spiller ,RB,Clemson,ACC,2010009,ACC,AFC East,0,0,0,0,0,0,0,0,0,0
1,10,Jacksonville Jaguars,Tyson Alualu,https://en.wikipedia.org/wiki/Tyson_Alualu ,DT,California,Pac10,2010010,Pac12,AFC South,0,0,0,0,0,0,0,0,0,0
1,11,San Francisco 49ers,Anthony Davis,"https://en.wikipedia.org/wiki/Anthony_Davis_(offensive_tackle,_born_1989) ",OT,Rutgers,Big East,2010011,Other,NFC West,0,0,0,0,0,0,0,0,0,0
1,12,Los Angeles Chargers,Ryan Mathews,https://en.wikipedia.org/wiki/Ryan_Mathews_(American_football) ,RB,Fresno State,WAC,2010012,Other,AFC West,0,0,0,0,0,0,0,0,0,1
1,13,Philadelphia Eagles,Brandon Graham,https://en.wikipedia.org/wiki/Brandon_Graham ,DE,Michigan,Big Ten,2010013,Big Ten,NFC East,0,0,1,0,0,0,0,0,1,1
1,14,Seattle Seahawks,Earl Thomas,https://en.wikipedia.org/wiki/Earl_Thomas_(defensive_back) ,S,Texas,Big 12,2010014,Big 12,NFC West,0,0,1,0,0,0,0,3,2,7
1,15,New York Giants,Jason PierrePaul,https://en.wikipedia.org/wiki/Jason_Pierre-Paul ,DE,South Florida,Big East,2010015,Other,NFC East,0,0,2,0,0,0,0,1,0,3
1,16,Tennessee Titans,Derrick Morgan,https://en.wikipedia.org/wiki/Derrick_Morgan_(American_football) ,DE,Georgia Tech,ACC,2010016,ACC,AFC South,0,0,0,0,0,0,0,0,0,0
1,17,San Francisco 49ers,Mike Iupati,https://en.wikipedia.org/wiki/Mike_Iupati ,OG,Idaho,WAC,2010017,Other,NFC West,0,0,0,0,0,0,0,1,1,4
1,18,Pittsburgh Steelers,Maurkice Pouncey,https://en.wikipedia.org/wiki/Maurkice_Pouncey ,C,Florida,SEC,2010018,SEC,AFC North,0,0,0,0,0,0,0,2,3,9
1,19,Atlanta Falcons,Sean Weatherspoon,https://en.wikipedia.org/wiki/Sean_Weatherspoon ,LB,Missouri,Big 12,2010019,Big 12,NFC South,0,0,0,0,0,0,0,0,0,0
1,20,Houston Texans,Kareem Jackson,https://en.wikipedia.org/wiki/Kareem_Jackson ,CB,Alabama,SEC,2010020,SEC,AFC South,0,0,0,0,0,0,0,0,0,0
1,21,Cincinnati Bengals,Jermaine Gresham,https://en.wikipedia.org/wiki/Jermaine_Gresham ,TE,Oklahoma,Big 12,2010021,Big 12,AFC North,0,0,0,0,0,0,0,0,0,2
1,22,Denver Broncos,Demaryius Thomas,https://en.wikipedia.org/wiki/Demaryius_Thomas ,WR,Georgia Tech,ACC,2010022,ACC,AFC West,0,0,1,0,0,0,0,0,2,4
1,23,Green Bay Packers,Bryan Bulaga,https://en.wikipedia.org/wiki/Bryan_Bulaga ,OT,Iowa,Big Ten,2010023,Big Ten,NFC North,0,0,1,0,0,0,0,0,0,0
1,24,Dallas Cowboys,Dez Bryant,https://en.wikipedia.org/wiki/Dez_Bryant ,WR,Oklahoma State,Big 12,2010024,Big 12,NFC East,0,0,0,0,0,0,0,1,0,3
1,25,Denver Broncos,Tim Tebow,https://en.wikipedia.org/wiki/Tim_Tebow ,QB,Florida,SEC,2010025,SEC,AFC West,0,0,0,0,0,0,0,0,0,0
1,26,Arizona Cardinals,Dan Williams,https://en.wikipedia.org/wiki/Dan_Williams_(defensive_tackle) ,DT,Tennessee,SEC,2010026,SEC,NFC West,0,0,0,0,0,0,0,0,0,0
1,27,New England Patriots,Devin McCourty,https://en.wikipedia.org/wiki/Devin_McCourty ,CB,Rutgers,Big East,2010027,Other,AFC East,0,0,3,0,0,0,0,0,3,2
1,28,Miami Dolphins,Jared Odrick,https://en.wikipedia.org/wiki/Jared_Odrick ,DT,Penn State,Big Ten,2010028,Big Ten,AFC East,0,0,0,0,0,0,0,0,0,0
