Round,Pick_No,Team,Player,Player_Link,Pos,College,Conf,ID
1,1,St Louis Rams,Sam Bradford,https://en.wikipedia.org/wiki/Sam_Bradford ,QB,Oklahoma,Big 12,2010001
1,2,Detroit Lions,Ndamukong Suh,https://en.wikipedia.org/wiki/Ndamukong_Suh ,DT,Nebraska,Big 12,2010002
1,3,Tampa Bay Buccaneers,Gerald McCoy,https://en.wikipedia.org/wiki/Gerald_McCoy ,DT,Oklahoma,Big 12,2010003
1,4,Washington Redskins,Trent Williams,https://en.wikipedia.org/wiki/Trent_Williams ,OT,Oklahoma,Big 12,2010004
1,5,Kansas City Chiefs,Eric Berry,https://en.wikipedia.org/wiki/Eric_Berry ,S,Tennessee,SEC,2010005
1,6,Seattle Seahawks,Russell Okung,https://en.wikipedia.org/wiki/Russell_Okung ,OT,Oklahoma State,Big 12,2010006
1,7,Cleveland Browns,Joe Haden,https://en.wikipedia.org/wiki/Joe_Haden ,CB,Florida,SEC,2010007
1,8,Oakland Raiders,Rolando McClain,https://en.wikipedia.org/wiki/Rolando_McClain ,LB,Alabama,SEC,2010008
1,9,Buffalo Bills,C J Spiller,https://en.wikipedia.org/wiki/C._J._Spiller ,RB,Clemson,ACC,2010009
1,10,Jacksonville Jaguars,Tyson Alualu,https://en.wikipedia.org/wiki/Tyson_Alualu ,DT,California,Pac10,2010010
1,11,San Francisco 49ers,Anthony Davis,"https://en.wikipedia.org/wiki/Anthony_Davis_(offensive_tackle,_born_1989) ",OT,Rutgers,Big East,2010011
1,12,San Diego Chargers,Ryan Mathews,https://en.wikipedia.org/wiki/Ryan_Mathews_(American_football) ,RB,Fresno State,WAC,2010012
1,13,Philadelphia Eagles,Brandon Graham,https://en.wikipedia.org/wiki/Brandon_Graham ,DE,Michigan,Big Ten,2010013
1,14,Seattle Seahawks,Earl Thomas,https://en.wikipedia.org/wiki/Earl_Thomas_(defensive_back) ,S,Texas,Big 12,2010014
1,15,New York Giants,Jason PierrePaul,https://en.wikipedia.org/wiki/Jason_Pierre-Paul ,DE,South Florida,Big East,2010015
1,16,Tennessee Titans,Derrick Morgan,https://en.wikipedia.org/wiki/Derrick_Morgan_(American_football) ,DE,Georgia Tech,ACC,2010016
1,17,San Francisco 49ers,Mike Iupati,https://en.wikipedia.org/wiki/Mike_Iupati ,OG,Idaho,WAC,2010017
1,18,Pittsburgh Steelers,Maurkice Pouncey,https://en.wikipedia.org/wiki/Maurkice_Pouncey ,C,Florida,SEC,2010018
1,19,Atlanta Falcons,Sean Weatherspoon,https://en.wikipedia.org/wiki/Sean_Weatherspoon ,LB,Missouri,Big 12,2010019
1,20,Houston Texans,Kareem Jackson,https://en.wikipedia.org/wiki/Kareem_Jackson ,CB,Alabama,SEC,2010020
1,21,Cincinnati Bengals,Jermaine Gresham,https://en.wikipedia.org/wiki/Jermaine_Gresham ,TE,Oklahoma,Big 12,2010021
1,22,Denver Broncos,Demaryius Thomas,https://en.wikipedia.org/wiki/Demaryius_Thomas ,WR,Georgia Tech,ACC,2010022
1,23,Green Bay Packers,Bryan Bulaga,https://en.wikipedia.org/wiki/Bryan_Bulaga ,OT,Iowa,Big Ten,2010023
1,24,Dallas Cowboys,Dez Bryant,https://en.wikipedia.org/wiki/Dez_Bryant ,WR,Oklahoma State,Big 12,2010024
1,25,Denver  Broncos,Tim Tebow,https://en.wikipedia.org/wiki/Tim_Tebow ,QB,Florida,SEC,2010025
1,26,Arizona Cardinals,Dan Williams,https://en.wikipedia.org/wiki/Dan_Williams_(defensive_tackle) ,DT,Tennessee,SEC,2010026
1,27,New England Patriots,Devin McCourty,https://en.wikipedia.org/wiki/Devin_McCourty ,CB,Rutgers,Big East,2010027
1,28,Miami Dolphins,Jared Odrick,https://en.wikipedia.org/wiki/Jared_Odrick ,DT,Penn State,Big Ten,2010028
1,29,New York Jets,Kyle Wilson,https://en.wikipedia.org/wiki/Kyle_Wilson_(cornerback) ,CB,Boise State,WAC,2010029
1,30,Detroit Lions,Jahvid Best,https://en.wikipedia.org/wiki/Jahvid_Best ,RB,California,Pac10,2010030
1,31,Indianapolis Colts,Jerry Hughes,https://en.wikipedia.org/wiki/Jerry_Hughes ,DE,TCU,MWC,2010031
1,32,New Orleans Saints,Patrick Robinson,https://en.wikipedia.org/wiki/Patrick_Robinson_(cornerback) ,CB,Florida State,ACC,2010032
2,33,St Louis Rams,Rodger Saffold,https://en.wikipedia.org/wiki/Rodger_Saffold ,OT,Indiana,Big Ten,2010033
2,34,Minnesota Vikings,Chris Cook,https://en.wikipedia.org/wiki/Chris_Cook_(American_football) ,CB,Virginia,ACC,2010034
2,35,Tampa Bay Buccaneers,Brian Price,"https://en.wikipedia.org/wiki/Brian_Price_(American_football,_born_1989) ",DT,UCLA,Pac10,2010035
2,36,Kansas City Chiefs,Dexter McCluster,https://en.wikipedia.org/wiki/Dexter_McCluster ,RB,Ole Miss,SEC,2010036
2,37,Philadelphia Eagles,Nate Allen,https://en.wikipedia.org/wiki/Nate_Allen_(safety) ,S,South Florida,Big East,2010037
2,38,Cleveland Browns,T J Ward,https://en.wikipedia.org/wiki/T._J._Ward ,S,Oregon,Pac10,2010038
2,39,Tampa Bay Buccaneers,Arrelious Benn,https://en.wikipedia.org/wiki/Arrelious_Benn ,WR,Illinois,Big Ten,2010039
2,40,Miami Dolphins,Koa Misi,https://en.wikipedia.org/wiki/Koa_Misi ,DE,Utah,MWC,2010040
2,41,Buffalo Bills,Torell Troup,https://en.wikipedia.org/wiki/Torell_Troup ,DT,UCF,CUSA,2010041
2,42,New England Patriots,Rob Gronkowski,https://en.wikipedia.org/wiki/Rob_Gronkowski ,TE,Arizona,Pac10,2010042
2,43,Baltimore Ravens,Sergio Kindle,https://en.wikipedia.org/wiki/Sergio_Kindle ,DE,Texas,Big 12,2010043
2,44,Oakland Raiders,Lamarr Houston,https://en.wikipedia.org/wiki/Lamarr_Houston ,DE,Texas,Big 12,2010044
2,45,Denver Broncos,Zane Beadles,https://en.wikipedia.org/wiki/Zane_Beadles ,OT,Utah,MWC,2010045
2,46,New York Giants,Linval Joseph,https://en.wikipedia.org/wiki/Linval_Joseph ,DT,East Carolina,CUSA,2010046
2,47,Arizona  Cardinals,Daryl Washington,https://en.wikipedia.org/wiki/Daryl_Washington ,LB,TCU,MWC,2010047
2,48,Carolina Panthers,Jimmy Clausen,https://en.wikipedia.org/wiki/Jimmy_Clausen ,QB,Notre Dame,Ind FBS,2010048
2,49,San Francisco 49ers,Taylor Mays,https://en.wikipedia.org/wiki/Taylor_Mays ,S,USC,Pac10,2010049
2,50,Kansas City Chiefs,Javier Arenas,https://en.wikipedia.org/wiki/Javier_Arenas_(American_football) ,CB,Alabama,SEC,2010050
2,51,Minnesota Vikings,Toby Gerhart,https://en.wikipedia.org/wiki/Toby_Gerhart ,RB,Stanford,Pac10,2010051
2,52,Pittsburgh Steelers,Jason Worilds,https://en.wikipedia.org/wiki/Jason_Worilds ,DE,Virginia Tech,ACC,2010052
2,53,New England Patriots,Jermaine Cunningham,https://en.wikipedia.org/wiki/Jermaine_Cunningham ,DE,Florida,SEC,2010053
2,54,Cincinnati Bengals,Carlos Dunlap,https://en.wikipedia.org/wiki/Carlos_Dunlap ,DE,Florida,SEC,2010054
2,55,Dallas  Cowboys,Sean Lee,https://en.wikipedia.org/wiki/Sean_Lee ,LB,Penn State,Big Ten,2010055
2,56,Green Bay Packers,Mike Neal,https://en.wikipedia.org/wiki/Mike_Neal ,DE,Purdue,Big Ten,2010056
2,57,Baltimore Ravens,Terrence Cody,https://en.wikipedia.org/wiki/Terrence_Cody ,DT,Alabama,SEC,2010057
2,58,Houston Texans,Ben Tate,https://en.wikipedia.org/wiki/Ben_Tate ,RB,Auburn,SEC,2010058
2,59,Cleveland Browns,Montario Hardesty,https://en.wikipedia.org/wiki/Montario_Hardesty ,RB,Tennessee,SEC,2010059
2,60,Seattle Seahawks,Golden Tate,https://en.wikipedia.org/wiki/Golden_Tate ,WR,Notre Dame,Ind FBS,2010060
2,61,New York Jets,Vladimir Ducasse,https://en.wikipedia.org/wiki/Vladimir_Ducasse ,OT,UMass,CAA,2010061
2,62,New England Patriots,Brandon Spikes,https://en.wikipedia.org/wiki/Brandon_Spikes ,LB,Florida,SEC,2010062
2,63,Indianapolis Colts,Pat Angerer,https://en.wikipedia.org/wiki/Pat_Angerer ,LB,Iowa,Big Ten,2010063
2,64,New Orleans Saints,Charles Brown,https://en.wikipedia.org/wiki/Charles_Brown_(offensive_lineman) ,OT,USC,Pac10,2010064
3,65,St Louis Rams,Jerome Murphy,https://en.wikipedia.org/wiki/Jerome_Murphy ,CB,South Florida,Big East,2010065
3,66,Detroit Lions,Amari Spievey,https://en.wikipedia.org/wiki/Amari_Spievey ,CB,Iowa,Big Ten,2010066
3,67,Tampa Bay Buccaneers,Myron Lewis,https://en.wikipedia.org/wiki/Myron_Lewis ,CB,Vanderbilt,SEC,2010067
3,68,Kansas City Chiefs,Jon Asamoah,https://en.wikipedia.org/wiki/Jon_Asamoah ,OG,Illinois,Big Ten,2010068
3,69,Oakland Raiders,Jared Veldheer,https://en.wikipedia.org/wiki/Jared_Veldheer ,OT,Hillsdale,GLIAC,2010069
3,70,Baltimore Ravens,Ed Dickson,https://en.wikipedia.org/wiki/Ed_Dickson ,TE,Oregon,Pac10,2010070
3,71,Green Bay Packers,Morgan Burnett,https://en.wikipedia.org/wiki/Morgan_Burnett ,S,Georgia Tech,ACC,2010071
3,72,Buffalo Bills,Alex Carrington,https://en.wikipedia.org/wiki/Alex_Carrington ,DE,Arkansas State,Sun Belt,2010072
3,73,Miami Dolphins,John Jerry,https://en.wikipedia.org/wiki/John_Jerry ,OT,Ole Miss,SEC,2010073
3,74,Jacksonville Jaguars,DAnthony Smith,https://en.wikipedia.org/wiki/D%27Anthony_Smith ,DT,Louisiana Tech,WAC,2010074
3,75,Chicago Bears,Major Wright,https://en.wikipedia.org/wiki/Major_Wright ,S,Florida,SEC,2010075
3,76,New York Giants,Chad Jones,https://en.wikipedia.org/wiki/Chad_Jones_(American_football) ,S,LSU,SEC,2010076
3,77,Tennessee Titans,Damian Williams,https://en.wikipedia.org/wiki/Damian_Williams_(wide_receiver) ,WR,USC,Pac10,2010077
3,78,Carolina Panthers,Brandon LaFell,https://en.wikipedia.org/wiki/Brandon_LaFell ,WR,LSU,SEC,2010078
3,79,San Diego Chargers,Donald Butler,https://en.wikipedia.org/wiki/Donald_Butler ,LB,Washington,Pac10,2010079
3,80,Denver Broncos,J D Walton,https://en.wikipedia.org/wiki/J._D._Walton ,C,Baylor,Big 12,2010080
3,81,Houston Texans,Earl Mitchell,https://en.wikipedia.org/wiki/Earl_Mitchell ,DT,Arizona,Pac10,2010081
3,82,Pittsburgh Steelers,Emmanuel Sanders,https://en.wikipedia.org/wiki/Emmanuel_Sanders ,WR,SMU,CUSA,2010082
3,83,Atlanta Falcons,Corey Peters,https://en.wikipedia.org/wiki/Corey_Peters ,DT,Kentucky,SEC,2010083
3,84,Cincinnati Bengals,Jordan Shipley,https://en.wikipedia.org/wiki/Jordan_Shipley ,WR,Texas,Big 12,2010084
