Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,1,1,0,2,0,3
Los Angeles Rams,1,1,2,2,1,2
San Francisco 49ers,4,1,0,3,1,1
Seattle Seahawks,0,2,1,0,2,3
