Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,1,1,3,1,0,2
New York Giants,2,1,0,1,1,1
Philadelphia Eagles,1,3,0,0,2,0
Washington Commanders,2,0,2,5,0,1
