Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,2,0,1,1,0,3
Carolina Panthers,0,1,1,1,1,1
New Orleans Saints,2,0,0,2,2,3
Tampa Bay Buccaneers,1,0,2,1,1,2
