Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,1,2,2,0,1,0
Detroit Lions,1,1,2,2,1,0
Green Bay Packers,0,1,1,0,3,3
Minnesota Vikings,2,1,2,2,1,2
