Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Chicago Bears,0,2,0,0,3,0,2
Detroit Lions,1,1,2,1,2,1,1
Green Bay Packers,1,1,1,0,1,3,2
Minnesota Vikings,2,1,1,3,2,2,4
