Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,0,0,1,2,2,1
Carolina Panthers,0,2,0,0,0,3
New Orleans Saints,1,0,2,0,1,1
Tampa Bay Buccaneers,1,1,1,1,1,2
