Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,0,0,0,3,0,3
Los Angeles Rams,0,0,0,2,1,3
San Francisco 49ers,0,0,1,5,2,3
Seattle Seahawks,1,1,2,3,1,2
