Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,0,2,3,1,0,3
New York Giants,1,1,1,1,1,1
Philadelphia Eagles,0,2,0,3,2,1
Washington Commanders,2,1,1,1,1,1
