Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,1,2,1,2,0,3
Detroit Lions,0,1,4,1,2,2
Green Bay Packers,0,0,2,0,4,1
Minnesota Vikings,2,0,0,3,0,3
