Round,Pick_No,Team,Player,Player_Link,Pos,College,Conf,ID,Conf_Clean,Div,MVP,SB_MVP,SB_WIN,OPOY,DPOY,OROY,DROY,First_AP,Second_AP,Pro_Bowl
1,1,Kansas City Chiefs,Eric Fisher,https://en.wikipedia.org/wiki/Eric_Fisher_(American_football) ,OT,Central Michigan,MAC,2013001,Other,AFC West,0,0,1,0,0,0,0,0,0,2
1,2,Jacksonville Jaguars,Luke Joeckel,https://en.wikipedia.org/wiki/Luke_Joeckel ,OT,Texas AM,SEC,2013002,SEC,AFC South,0,0,0,0,0,0,0,0,0,0
1,3,Miami Dolphins,Dion Jordan,https://en.wikipedia.org/wiki/Dion_Jordan ,DE,Oregon,Pac12,2013003,Pac12,AFC East,0,0,0,0,0,0,0,0,0,0
1,4,Philadelphia Eagles,Lane Johnson,https://en.wikipedia.org/wiki/Lane_Johnson ,OT,Oklahoma,Big 12,2013004,Big 12,NFC East,0,0,1,0,0,0,0,2,2,5
1,5,Detroit Lions,Ezekiel Ansah,https://en.wikipedia.org/wiki/Ezekiel_Ansah ,DE,BYU,Ind FBS,2013005,Other,NFC North,0,0,0,0,0,0,0,0,1,1
1,6,Cleveland Browns,Barkevious Mingo,https://en.wikipedia.org/wiki/Barkevious_Mingo ,DE,LSU,SEC,2013006,SEC,AFC North,0,0,1,0,0,0,0,0,0,0
1,7,Arizona Cardinals,Jonathan Cooper,https://en.wikipedia.org/wiki/Jonathan_Cooper ,OG,North Carolina,ACC,2013007,ACC,NFC West,0,0,0,0,0,0,0,0,0,0
1,8,Los Angeles Rams,Tavon Austin,https://en.wikipedia.org/wiki/Tavon_Austin ,WR,West Virginia,Big 12,2013008,Big 12,NFC West,0,0,0,0,0,0,0,0,0,0
1,9,New York Jets,Dee Milliner,https://en.wikipedia.org/wiki/Dee_Milliner ,CB,Alabama,SEC,2013009,SEC,AFC East,0,0,0,0,0,0,0,0,0,0
1,10,Tennessee Titans,Chance Warmack,https://en.wikipedia.org/wiki/Chance_Warmack ,OG,Alabama,SEC,2013010,SEC,AFC South,0,0,1,0,0,0,0,0,0,0
1,11,Los Angeles Chargers,D J Fluker,https://en.wikipedia.org/wiki/D._J._Fluker ,OT,Alabama,SEC,2013011,SEC,AFC West,0,0,0,0,0,0,0,0,0,0
1,12,Las Vegas Raiders,D J Hayden,https://en.wikipedia.org/wiki/D._J._Hayden ,CB,Houston,CUSA,2013012,Other,AFC West,0,0,0,0,0,0,0,0,0,0
1,13,New York Jets,Sheldon Richardson,https://en.wikipedia.org/wiki/Sheldon_Richardson ,DT,Missouri,SEC,2013013,SEC,AFC East,0,0,0,0,0,0,1,0,0,1
1,14,Carolina Panthers,Star Lotulelei,https://en.wikipedia.org/wiki/Star_Lotulelei ,DT,Utah,Pac12,2013014,Pac12,NFC South,0,0,0,0,0,0,0,0,0,0
1,15,New Orleans Saints,Kenny Vaccaro,https://en.wikipedia.org/wiki/Kenny_Vaccaro ,S,Texas,Big 12,2013015,Big 12,NFC South,0,0,0,0,0,0,0,0,0,0
1,16,Buffalo Bills,EJ Manuel,https://en.wikipedia.org/wiki/EJ_Manuel ,QB,Florida State,ACC,2013016,ACC,AFC East,0,0,0,0,0,0,0,0,0,0
