Round,Pick_No,Team,Player,Player_Link,Pos,College,Conf,ID
1,1,Kansas City Chiefs,Eric Fisher,https://en.wikipedia.org/wiki/Eric_Fisher_(American_football) ,OT,Central Michigan,MAC,2013001
1,2,Jacksonville Jaguars,Luke Joeckel,https://en.wikipedia.org/wiki/Luke_Joeckel ,OT,Texas AM,SEC,2013002
1,3,Miami Dolphins,Dion Jordan,https://en.wikipedia.org/wiki/Dion_Jordan ,DE,Oregon,Pac12,2013003
1,4,Philadelphia Eagles,Lane Johnson,https://en.wikipedia.org/wiki/Lane_Johnson ,OT,Oklahoma,Big 12,2013004
1,5,Detroit Lions,Ezekiel Ansah,https://en.wikipedia.org/wiki/Ezekiel_Ansah ,DE,BYU,Ind FBS,2013005
1,6,Cleveland Browns,Barkevious Mingo,https://en.wikipedia.org/wiki/Barkevious_Mingo ,DE,LSU,SEC,2013006
1,7,Arizona Cardinals,Jonathan Cooper,https://en.wikipedia.org/wiki/Jonathan_Cooper ,OG,North Carolina,ACC,2013007
1,8,St Louis Rams,Tavon Austin,https://en.wikipedia.org/wiki/Tavon_Austin ,WR,West Virginia,Big 12,2013008
1,9,New York Jets,Dee Milliner,https://en.wikipedia.org/wiki/Dee_Milliner ,CB,Alabama,SEC,2013009
1,10,Tennessee Titans,Chance Warmack,https://en.wikipedia.org/wiki/Chance_Warmack ,OG,Alabama,SEC,2013010
1,11,San Diego Chargers,D J Fluker,https://en.wikipedia.org/wiki/D._J._Fluker ,OT,Alabama,SEC,2013011
1,12,Oakland Raiders,D J Hayden,https://en.wikipedia.org/wiki/D._J._Hayden ,CB,Houston,CUSA,2013012
1,13,New York Jets,Sheldon Richardson,https://en.wikipedia.org/wiki/Sheldon_Richardson ,DT,Missouri,SEC,2013013
1,14,Carolina Panthers,Star Lotulelei,https://en.wikipedia.org/wiki/Star_Lotulelei ,DT,Utah,Pac12,2013014
1,15,New Orleans Saints,Kenny Vaccaro,https://en.wikipedia.org/wiki/Kenny_Vaccaro ,S,Texas,Big 12,2013015
1,16,Buffalo Bills,EJ Manuel,https://en.wikipedia.org/wiki/EJ_Manuel ,QB,Florida State,ACC,2013016
1,17,Pittsburgh Steelers,Jarvis Jones,https://en.wikipedia.org/wiki/Jarvis_Jones ,LB,Georgia,SEC,2013017
1,18,San Francisco 49ers,Eric Reid,https://en.wikipedia.org/wiki/Eric_Reid ,S,LSU,SEC,2013018
1,19,New York Giants,Justin Pugh,https://en.wikipedia.org/wiki/Justin_Pugh ,OT,Syracuse,Big East,2013019
1,20,Chicago Bears,Kyle Long,https://en.wikipedia.org/wiki/Kyle_Long ,OG,Oregon,Pac12,2013020
1,21,Cincinnati Bengals,Tyler Eifert,https://en.wikipedia.org/wiki/Tyler_Eifert ,TE,Notre Dame,Ind FBS,2013021
1,22,Atlanta Falcons,Desmond Trufant,https://en.wikipedia.org/wiki/Desmond_Trufant ,CB,Washington,Pac12,2013022
1,23,Minnesota Vikings,Sharrif Floyd,https://en.wikipedia.org/wiki/Sharrif_Floyd ,DT,Florida,SEC,2013023
1,24,Indianapolis Colts,Björn Werner,https://en.wikipedia.org/wiki/Bj%C3%B6rn_Werner ,DE,Florida State,ACC,2013024
1,25,Minnesota Vikings,Xavier Rhodes,https://en.wikipedia.org/wiki/Xavier_Rhodes ,CB,Florida State,ACC,2013025
1,26,Green Bay Packers,Datone Jones,https://en.wikipedia.org/wiki/Datone_Jones ,DE,UCLA,Pac12,2013026
1,27,Houston Texans,DeAndre Hopkins,https://en.wikipedia.org/wiki/DeAndre_Hopkins ,WR,Clemson,ACC,2013027
1,28,Denver Broncos,Sylvester Williams,https://en.wikipedia.org/wiki/Sylvester_Williams_(American_football) ,DT,North Carolina,ACC,2013028
1,29,Minnesota Vikings,Cordarrelle Patterson,https://en.wikipedia.org/wiki/Cordarrelle_Patterson ,RB,Tennessee,SEC,2013029
1,30,St Louis Rams,Alec Ogletree,https://en.wikipedia.org/wiki/Alec_Ogletree ,LB,Georgia,SEC,2013030
1,31,Dallas Cowboys,Travis Frederick,https://en.wikipedia.org/wiki/Travis_Frederick ,C,Wisconsin,Big Ten,2013031
1,32,Baltimore Ravens,Matt Elam,https://en.wikipedia.org/wiki/Matt_Elam ,S,Florida,SEC,2013032
2,33,Jacksonville Jaguars,Johnathan Cyprien,https://en.wikipedia.org/wiki/Johnathan_Cyprien ,S,FIU,Sun Belt,2013033
2,34,Tennessee Titans,Justin Hunter,https://en.wikipedia.org/wiki/Justin_Hunter ,WR,Tennessee,SEC,2013034
2,35,Philadelphia Eagles,Zach Ertz,https://en.wikipedia.org/wiki/Zach_Ertz ,TE,Stanford,Pac12,2013035
2,36,Detroit Lions,Darius Slay,https://en.wikipedia.org/wiki/Darius_Slay ,CB,Mississippi State,SEC,2013036
2,37,Cincinnati Bengals,Giovani Bernard,https://en.wikipedia.org/wiki/Giovani_Bernard ,RB,North Carolina,ACC,2013037
2,38,San Diego Chargers,Manti Teo,https://en.wikipedia.org/wiki/Manti_Te%27o ,LB,Notre Dame,Ind FBS,2013038
2,39,New York Jets,Geno Smith,https://en.wikipedia.org/wiki/Geno_Smith ,QB,West Virginia,Big 12,2013039
2,40,San Francisco 49ers,Tank Carradine,https://en.wikipedia.org/wiki/Cornellius_Carradine ,DE,Florida State,ACC,2013040
2,41,Buffalo Bills,Robert Woods,"https://en.wikipedia.org/wiki/Robert_Woods_(wide_receiver,_born_1992) ",WR,USC,Pac12,2013041
2,42,Oakland Raiders,Menelik Watson,https://en.wikipedia.org/wiki/Menelik_Watson ,OT,Florida State,ACC,2013042
