Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,2,0,1,0,2,2
Carolina Panthers,1,1,0,5,0,0
New Orleans Saints,0,0,1,2,0,2
Tampa Bay Buccaneers,0,0,1,4,1,2
