Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,0,2,0,1,0,2
Detroit Lions,2,0,3,1,1,2
Green Bay Packers,0,1,2,3,0,2
Minnesota Vikings,1,2,0,2,2,5
