Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,1,2,0,2,2,4
Los Angeles Rams,0,2,3,0,2,1
San Francisco 49ers,1,1,1,3,2,0
Seattle Seahawks,3,2,0,1,4,1
