Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,2,0,2,1,1,2
New York Giants,3,0,1,3,0,3
Philadelphia Eagles,0,0,3,0,2,0
Washington Commanders,2,1,3,2,1,1
