Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,0,0,0,1,1,4
Detroit Lions,0,3,1,0,0,4
Green Bay Packers,2,0,2,1,1,2
Minnesota Vikings,1,0,0,3,3,3
