Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,0,0,2,2,0,2
Carolina Panthers,1,1,1,1,1,2
New Orleans Saints,0,0,2,0,0,3
Tampa Bay Buccaneers,0,0,2,1,0,4
