Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,2,1,0,1,0,3
New York Giants,3,0,0,2,0,2
Philadelphia Eagles,1,1,2,2,2,1
Washington Commanders,0,2,3,0,0,4
