Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,0,1,0,1,1,4
Los Angeles Rams,1,0,0,2,0,7
San Francisco 49ers,2,0,2,0,1,2
Seattle Seahawks,1,0,1,2,0,6
