Round,Pick_No,Team,Player,Player_Link,Pos,College,Conf,ID
1,1,Los Angeles Rams,Jared Goff,https://en.wikipedia.org/wiki/Jared_Goff ,QB,California,Pac12,2016001
1,2,Philadelphia Eagles,Carson Wentz,https://en.wikipedia.org/wiki/Carson_Wentz ,QB,North Dakota State,MVFC,2016002
1,3,San Diego Chargers,Joey Bosa,https://en.wikipedia.org/wiki/Joey_Bosa ,DE,Ohio State,Big Ten,2016003
1,4,Dallas Cowboys,Ezekiel Elliott,https://en.wikipedia.org/wiki/Ezekiel_Elliott ,RB,Ohio State,Big Ten,2016004
1,5,Jacksonville Jaguars,Jalen Ramsey,https://en.wikipedia.org/wiki/Jalen_Ramsey ,CB,Florida State,ACC,2016005
1,6,Baltimore Ravens,Ronnie Stanley,https://en.wikipedia.org/wiki/Ronnie_Stanley ,OT,Notre Dame,Ind FBS,2016006
1,7,San Francisco 49ers,DeForest Buckner,https://en.wikipedia.org/wiki/DeForest_Buckner ,DE,Oregon,Pac12,2016007
1,8,Tennessee Titans,Jack Conklin,https://en.wikipedia.org/wiki/Jack_Conklin ,OT,Michigan State,Big Ten,2016008
1,9,Chicago Bears,Leonard Floyd,https://en.wikipedia.org/wiki/Leonard_Floyd ,LB,Georgia,SEC,2016009
1,10,New York Giants,Eli Apple,https://en.wikipedia.org/wiki/Eli_Apple ,CB,Ohio State,Big Ten,2016010
1,11,Tampa Bay Buccaneers,Vernon Hargreaves,https://en.wikipedia.org/wiki/Vernon_Hargreaves ,CB,Florida,SEC,2016011
1,12,New Orleans Saints,Sheldon Rankins,https://en.wikipedia.org/wiki/Sheldon_Rankins ,DT,Louisville,ACC,2016012
1,13,Miami Dolphins,Laremy Tunsil,https://en.wikipedia.org/wiki/Laremy_Tunsil ,OT,Ole Miss,SEC,2016013
1,14,Oakland Raiders,Karl Joseph,https://en.wikipedia.org/wiki/Karl_Joseph ,S,West Virginia,Big 12,2016014
1,15,Cleveland Browns,Corey Coleman,https://en.wikipedia.org/wiki/Corey_Coleman ,WR,Baylor,Big 12,2016015
1,16,Detroit Lions,Taylor Decker,https://en.wikipedia.org/wiki/Taylor_Decker ,OT,Ohio State,Big Ten,2016016
1,17,Atlanta Falcons,Keanu Neal,https://en.wikipedia.org/wiki/Keanu_Neal ,S,Florida,SEC,2016017
1,18,Indianapolis Colts,Ryan Kelly,https://en.wikipedia.org/wiki/Ryan_Kelly_(American_football) ,C,Alabama,SEC,2016018
1,19,Buffalo Bills,Shaq Lawson,https://en.wikipedia.org/wiki/Shaq_Lawson ,DE,Clemson,ACC,2016019
1,20,New York Jets,Darron Lee,https://en.wikipedia.org/wiki/Darron_Lee ,LB,Ohio State,Big Ten,2016020
1,21,Houston Texans,Will Fuller,https://en.wikipedia.org/wiki/Will_Fuller ,WR,Notre Dame,Ind FBS,2016021
1,22,Washington Redskins,Josh Doctson,https://en.wikipedia.org/wiki/Josh_Doctson ,WR,TCU,Big 12,2016022
1,23,Minnesota Vikings,Laquon Treadwell,https://en.wikipedia.org/wiki/Laquon_Treadwell ,WR,Ole Miss,SEC,2016023
1,24,Cincinnati Bengals,William Jackson III,https://en.wikipedia.org/wiki/William_Jackson_III ,CB,Houston,The American,2016024
1,25,Pittsburgh Steelers,Artie Burns,https://en.wikipedia.org/wiki/Artie_Burns ,CB,Miami FL,ACC,2016025
1,26,Denver Broncos,Paxton Lynch,https://en.wikipedia.org/wiki/Paxton_Lynch ,QB,Memphis,The American,2016026
1,27,Green Bay Packers,Kenny Clark,https://en.wikipedia.org/wiki/Kenny_Clark_(defensive_tackle) ,DT,UCLA,Pac12,2016027
1,28,San Francisco 49ers,Joshua Garnett,https://en.wikipedia.org/wiki/Joshua_Garnett ,OG,Stanford,Pac12,2016028
1,29,Arizona Cardinals,Robert Nkemdiche,https://en.wikipedia.org/wiki/Robert_Nkemdiche ,DT,Ole Miss,SEC,2016029
1,30,Carolina Panthers,Vernon Butler,https://en.wikipedia.org/wiki/Vernon_Butler ,DT,Louisiana Tech,CUSA,2016030
1,31,Seattle Seahawks,Germain Ifedi,https://en.wikipedia.org/wiki/Germain_Ifedi ,OT,Texas AM,SEC,2016031
2,32,Cleveland Browns,Emmanuel Ogbah,https://en.wikipedia.org/wiki/Emmanuel_Ogbah ,DE,Oklahoma State,Big 12,2016032
2,33,Tennessee Titans,Kevin Dodd,https://en.wikipedia.org/wiki/Kevin_Dodd ,LB,Clemson,ACC,2016033
2,34,Dallas Cowboys,Jaylon Smith,https://en.wikipedia.org/wiki/Jaylon_Smith ,LB,Notre Dame,Ind FBS,2016034
2,35,San Diego Chargers,Hunter Henry,https://en.wikipedia.org/wiki/Hunter_Henry ,TE,Arkansas,SEC,2016035
2,36,Jacksonville Jaguars,Myles Jack,https://en.wikipedia.org/wiki/Myles_Jack ,LB,UCLA,Pac12,2016036
2,37,Kansas City Chiefs,Chris Jones,"https://en.wikipedia.org/wiki/Chris_Jones_(defensive_tackle,_born_1994) ",DT,Mississippi State,SEC,2016037
2,38,Miami Dolphins,Xavien Howard,https://en.wikipedia.org/wiki/Xavien_Howard ,CB,Baylor,Big 12,2016038
2,39,Tampa Bay Buccaneers,Noah Spence,https://en.wikipedia.org/wiki/Noah_Spence ,DE,Eastern Kentucky,OVC,2016039
2,40,New York Giants,Sterling Shepard,https://en.wikipedia.org/wiki/Sterling_Shepard ,WR,Oklahoma,Big 12,2016040
2,41,Buffalo Bills,Reggie Ragland,https://en.wikipedia.org/wiki/Reggie_Ragland ,LB,Alabama,SEC,2016041
