Round,Pick_No,Team,Player,Player_Link,Pos,College,Conf,ID,Conf_Clean,Div
1,1,Indianapolis Colts,Andrew Luck,https://en.wikipedia.org/wiki/Andrew_Luck ,QB,Stanford,Pac12,2012001,Pac12,AFC South
1,2,Washington Commanders,Robert Griffin III,https://en.wikipedia.org/wiki/Robert_Griffin_III ,QB,Baylor,Big 12,2012002,Big 12,NFC East
1,3,Cleveland Browns,Trent Richardson,https://en.wikipedia.org/wiki/Trent_Richardson ,RB,Alabama,SEC,2012003,SEC,AFC North
1,4,Minnesota Vikings,Matt Kalil,https://en.wikipedia.org/wiki/Matt_Kalil ,OT,USC,Pac12,2012004,Pac12,NFC North
1,5,Jacksonville Jaguars,Justin Blackmon,https://en.wikipedia.org/wiki/Justin_Blackmon ,WR,Oklahoma State,Big 12,2012005,Big 12,AFC South
1,6,Dallas Cowboys,Morris Claiborne,https://en.wikipedia.org/wiki/Morris_Claiborne ,CB,LSU,SEC,2012006,SEC,NFC East
1,7,Tampa Bay Buccaneers,Mark Barron,https://en.wikipedia.org/wiki/Mark_Barron ,S,Alabama,SEC,2012007,SEC,NFC South
1,8,Miami Dolphins,Ryan Tannehill,https://en.wikipedia.org/wiki/Ryan_Tannehill ,QB,Texas AM,Big 12,2012008,Big 12,AFC East
1,9,Carolina Panthers,Luke Kuechly,https://en.wikipedia.org/wiki/Luke_Kuechly ,LB,Boston College,ACC,2012009,ACC,NFC South
1,10,Buffalo Bills,Stephon Gilmore,https://en.wikipedia.org/wiki/Stephon_Gilmore ,CB,South Carolina,SEC,2012010,SEC,AFC East
1,11,Kansas City Chiefs,Dontari Poe,https://en.wikipedia.org/wiki/Dontari_Poe ,DT,Memphis,CUSA,2012011,Other,AFC West
1,12,Philadelphia Eagles,Fletcher Cox,https://en.wikipedia.org/wiki/Fletcher_Cox ,DT,Mississippi State,SEC,2012012,SEC,NFC East
1,13,Arizona Cardinals,Michael Floyd,https://en.wikipedia.org/wiki/Michael_Floyd ,WR,Notre Dame,Ind FBS,2012013,Other,NFC West
1,14,Los Angeles Rams,Michael Brockers,https://en.wikipedia.org/wiki/Michael_Brockers ,DE,LSU,SEC,2012014,SEC,NFC West
1,15,Seattle Seahawks,Bruce Irvin,https://en.wikipedia.org/wiki/Bruce_Irvin_(American_football) ,DE,West Virginia,Big East,2012015,Other,NFC West
1,16,New York Jets,Quinton Coples,https://en.wikipedia.org/wiki/Quinton_Coples ,DE,North Carolina,ACC,2012016,ACC,AFC East
1,17,Cincinnati Bengals,Dre Kirkpatrick,https://en.wikipedia.org/wiki/Dre_Kirkpatrick ,CB,Alabama,SEC,2012017,SEC,AFC North
1,18,Los Angeles Chargers,Melvin Ingram,https://en.wikipedia.org/wiki/Melvin_Ingram ,LB,South Carolina,SEC,2012018,SEC,AFC West
1,19,Chicago Bears,Shea McClellin,https://en.wikipedia.org/wiki/Shea_McClellin ,DE,Boise State,MW,2012019,Other,NFC North
1,20,Tennessee Titans,Kendall Wright,https://en.wikipedia.org/wiki/Kendall_Wright ,WR,Baylor,Big 12,2012020,Big 12,AFC South
1,21,New England Patriots,Chandler Jones,https://en.wikipedia.org/wiki/Chandler_Jones ,DE,Syracuse,Big East,2012021,Other,AFC East
1,22,Cleveland Browns,Brandon Weeden,https://en.wikipedia.org/wiki/Brandon_Weeden ,QB,Oklahoma State,Big 12,2012022,Big 12,AFC North
1,23,Detroit Lions,Riley Reiff,https://en.wikipedia.org/wiki/Riley_Reiff ,OT,Iowa,Big Ten,2012023,Big Ten,NFC North
1,24,Pittsburgh Steelers,David DeCastro,https://en.wikipedia.org/wiki/David_DeCastro ,OG,Stanford,Pac12,2012024,Pac12,AFC North
1,25,New England Patriots,Donta Hightower,https://en.wikipedia.org/wiki/Dont%27a_Hightower ,LB,Alabama,SEC,2012025,SEC,AFC East
1,26,Houston Texans,Whitney Mercilus,https://en.wikipedia.org/wiki/Whitney_Mercilus ,DE,Illinois,Big Ten,2012026,Big Ten,AFC South
