Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Chicago Bears,1,1,1,1,1,1,0
Detroit Lions,1,1,1,1,1,1,1
Green Bay Packers,1,1,1,1,1,3,0
Minnesota Vikings,1,1,1,1,2,2,2
