Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Chicago Bears,1,1,0,1,1,1,1
Detroit Lions,1,1,1,1,1,2,2
Green Bay Packers,1,1,0,3,2,1,3
Minnesota Vikings,3,0,0,1,1,1,3
