Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,2,1,0,1,1,3
Los Angeles Rams,1,2,2,0,0,3
San Francisco 49ers,0,2,0,1,1,6
Seattle Seahawks,1,0,1,4,2,1
