Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,1,1,1,1,1,3
New York Giants,2,1,3,0,0,2
Philadelphia Eagles,0,2,2,0,2,5
Washington Commanders,3,3,2,1,0,3
