Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,1,0,0,3,1,1
Carolina Panthers,0,0,0,2,2,4
New Orleans Saints,0,0,2,1,1,2
Tampa Bay Buccaneers,1,0,1,2,2,2
