Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,0,0,1,0,2,2
Detroit Lions,0,0,1,1,0,3
Green Bay Packers,1,0,0,3,2,4
Minnesota Vikings,1,0,2,1,1,5
