Conf_Clean,MVP,SB_MVP,SB_WIN,OPOY,DPOY,OROY,DROY,First_AP,Second_AP,Pro_Bowl
ACC,2,0,56,0,4,0,2,31,35,107
Big 12,2,4,40,2,0,3,2,27,22,94
Big Ten,0,0,75,1,5,1,4,37,27,121
Other,0,1,139,1,1,0,1,73,52,218
Pac12,0,2,58,1,0,1,2,26,29,111
SEC,1,0,88,4,2,6,1,51,73,260
