Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,0,0,0,2,1,3
Carolina Panthers,2,0,3,3,0,0
New Orleans Saints,2,0,1,1,0,3
Tampa Bay Buccaneers,2,0,1,1,2,2
