Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,0,2,1,1,1,4
New York Giants,2,0,1,1,0,2
Philadelphia Eagles,2,1,0,0,0,2
Washington Commanders,3,0,1,3,0,1
