Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,0,0,1,2,1,3
Detroit Lions,0,0,0,3,1,2
Green Bay Packers,1,0,1,4,2,3
Minnesota Vikings,1,0,1,1,1,4
