Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,0,0,2,1,1,2
Los Angeles Rams,2,3,2,1,0,3
San Francisco 49ers,1,1,0,1,1,5
Seattle Seahawks,0,2,1,0,2,4
