Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,1,0,0,1,0,3
Detroit Lions,1,0,0,4,0,4
Green Bay Packers,1,0,2,2,1,4
Minnesota Vikings,5,1,4,0,0,1
