Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,2,0,3,1,2,1
New York Giants,2,0,0,2,1,1
Philadelphia Eagles,1,2,1,1,2,1
Washington Commanders,1,1,1,4,1,2
