Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,2,0,0,2,1,2
Los Angeles Rams,3,0,0,1,0,4
San Francisco 49ers,1,0,2,2,4,1
Seattle Seahawks,1,1,3,2,1,3
