Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Chicago Bears,8,11,7,13,10,10,10
Detroit Lions,12,11,11,12,13,13,14
Green Bay Packers,11,13,10,13,17,17,17
Minnesota Vikings,14,9,7,15,16,21,29
