Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Atlanta Falcons,11,7,10,13,14,7,12
Carolina Panthers,10,12,9,11,11,12,10
New Orleans Saints,12,7,14,6,9,7,10
Tampa Bay Buccaneers,11,16,10,8,11,11,12
