Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7
Arizona Cardinals,11,9,12,13,12,14,10
Los Angeles Rams,9,11,16,14,9,17,22
San Francisco 49ers,15,9,13,13,14,20,17
Seattle Seahawks,8,12,14,19,17,16,19
