Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,2,0,0,1,1,3
Los Angeles Rams,2,0,1,4,0,4
San Francisco 49ers,3,1,2,1,1,4
Seattle Seahawks,1,0,0,3,2,3
