Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,2,0,1,1,2,2
Detroit Lions,2,0,0,1,0,5
Green Bay Packers,0,1,2,1,2,3
Minnesota Vikings,3,0,0,0,3,4
