Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,2,0,3,1,0,3
Carolina Panthers,2,0,0,2,1,1
New Orleans Saints,0,1,1,2,2,0
Tampa Bay Buccaneers,0,1,1,1,1,2
