Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Chicago Bears,0,1,1,1,0,2
Detroit Lions,2,1,1,0,1,1
Green Bay Packers,1,0,3,0,0,3
Minnesota Vikings,2,0,2,0,2,2
