Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Arizona Cardinals,0,0,1,1,1,4
Los Angeles Rams,0,1,3,1,0,6
San Francisco 49ers,0,0,1,1,2,4
Seattle Seahawks,2,2,0,0,3,2
