Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Atlanta Falcons,0,3,0,2,0,2
Carolina Panthers,0,2,0,3,0,5
New Orleans Saints,3,0,0,1,2,0
Tampa Bay Buccaneers,3,1,1,1,2,1
