Team,ACC,Big 12,Big Ten,SEC,Pac12,Other
Dallas Cowboys,0,2,1,0,0,3
New York Giants,0,1,0,2,0,4
Philadelphia Eagles,1,1,3,5,1,2
Washington Commanders,0,1,0,1,1,3
